시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일
여수 나폴리 하우스,반려동물업,반려동반여행,펜션,전라남도,여수시,돌산읍,죽포리,109 번지,두문포길,131-3 번,34.64601933,127.793823,59775.0,전라남도 여수시 돌산읍 두문포길 131-3,전라남도 여수시 돌산읍 죽포리 109,0507-1356-1252,http://yeosunapolihouse.co.kr,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,5kg 이하,제한사항 없음,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
여수 느낌 애견풀빌라,반려동물업,반려동반여행,펜션,전라남도,여수시,돌산읍,평사리,308-3 번지,계동로,426 번,34.67262535,127.782177,59774.0,전라남도 여수시 돌산읍 계동로 426,전라남도 여수시 돌산읍 평사리 308-3,050-5282-9306,http://xn--l89am7eh0bcyieyjs0fcsg55a298f.kr/,연중무휴,매일 16:00~12:00,Y,변동,Y,해당없음,5kg 미만,"객실당 최대 2마리, 목줄",Y,Y,애견 동반 펜션,"30,000원",2022-11-30
여수 다시봄 애견동반 펜션,반려동물업,반려동반여행,펜션,전라남도,여수시,돌산읍,평사리,1006-15 번지,평사로,339 번,34.65551872,127.727332,59772.0,전라남도 여수시 돌산읍 평사로 339,전라남도 여수시 돌산읍 평사리 1006-15,050-5356-9561,http://www.dasibom.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형,"객실당 최대 2마리, 애견용품 개별준비",Y,Y,애견 동반 펜션,"15,000원",2022-11-30
여수 다옴,반려동물업,반려동반여행,펜션,전라남도,여수시,돌산읍,평사리,1385-4 번지,돌산로,3090 번,34.69874146,127.762461,59771.0,전라남도 여수시 돌산읍 돌산로 3090,전라남도 여수시 돌산읍 평사리 1385-4,061-642-1056,http://marginmax.me/pages/A2/index.html?idx=1870&co_id=daomm,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 미만,객실당 최대 1마리,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
여수 물음표펜션,반려동물업,반려동반여행,펜션,전라남도,여수시,화양면,이천리,689-1 번지,옥천로,722 번,34.72765374,127.568323,59651.0,전라남도 여수시 화양면 옥천로 722,전라남도 여수시 화양면 이천리 689-1,0507-1368-2052,https://blog.naver.com/aszx6255,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 미만,객실당 최대 6마리,Y,Y,애견 동반 펜션,"15,000원",2022-11-30
여수 복자 스파펜션,반려동물업,반려동반여행,펜션,전라남도,여수시,돌산읍,평사리,1006-9 번지,평사로,331 번,34.65547838,127.726389,59772.0,전라남도 여수시 돌산읍 평사로 331,전라남도 여수시 돌산읍 평사리 1006-9,050-5356-9614,http://xn--pn3b83fpqgq1n.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 이하,"객실당 최대 2마리, 애견용품 개별준비",Y,Y,애견 동반 펜션,"15,000원",2022-11-30
여수 빌리지피어 펜션,반려동물업,반려동반여행,펜션,전라남도,여수시,돌산읍,평사리,320-8 번지,계동로,393 번,34.6698497,127.782648,59774.0,전라남도 여수시 돌산읍 계동로 393,전라남도 여수시 돌산읍 평사리 320-8,0507-1389-1449,http://villagepier.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형,객실당 최대 2마리,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
여수 슈가몽 펜션,반려동물업,반려동반여행,펜션,전라남도,여수시,돌산읍,우두리,60-22 번지,월전길,162 번,34.7036467,127.783266,59770.0,전라남도 여수시 돌산읍 월전길 162,전라남도 여수시 돌산읍 우두리 60-22,,http://www.yeosu-sugarmong.kr/html/index.html,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,30kg 미만,객실당 최대 2마리,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
여수 안단테 스파 펜션,반려동물업,반려동반여행,펜션,전라남도,여수시,돌산읍,평사리,1006-13 번지,평사로,335 번,34.6555004,127.726837,59772.0,전라남도 여수시 돌산읍 평사로 335,전라남도 여수시 돌산읍 평사리 1006-13,050-5765-0610,http://ysandante.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 미만,"객실당 최대 2마리, 애견용품 개별준비",Y,Y,애견 동반 펜션,"15,000원",2022-11-30
여수미남크루즈,반려동물업,반려동반여행,여행지,전라남도,여수시,돌산읍,우두리,813-10 번지,돌산로,3617-22 번,34.72945039,127.737257,59768.0,전라남도 여수시 돌산읍 돌산로 3617-22,전라남도 여수시 돌산읍 우두리 813-10,1533-6256,http://www.minamcruise.com/,연중무휴,매일 10:00~20:00,Y,40000원,Y,해당없음,소형/중형,케이지 이용,N,Y,관광지,없음,2022-11-30
여수바다향기 키즈가족 독채펜션,반려동물업,반려동반여행,펜션,전라남도,여수시,돌산읍,평사리,966 번지,평사로,479 번,34.66213479,127.739173,59772.0,전라남도 여수시 돌산읍 평사로 479,전라남도 여수시 돌산읍 평사리 966,050-5356-9563,http://www.ysea.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형/중형,객실당 최대 1마리,Y,Y,"애견 동반 펜션, 사전문의 필수",없음,2022-11-30
여수선사유적공원,반려동물업,반려동반여행,여행지,전라남도,여수시,화장동,,945-1 번지,,,34.77876545,127.646238,59638.0,,전라남도 여수시 화장동 945-1,061-659-4630,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
여수이사부크루즈,반려동물업,반려동반여행,여행지,전라남도,여수시,돌산읍,우두리,813-9 번지,돌산로,3617-18 번,34.72973124,127.736949,59768.0,전라남도 여수시 돌산읍 돌산로 3617-18,전라남도 여수시 돌산읍 우두리 813-9,0507-1357-2128,http://www.gcruise.kr/main/main.php?,연중무휴,매일 12:00~19:00,Y,변동,Y,해당없음,모두 가능,케이지 이용,N,Y,관광지,없음,2022-11-30
여수항방파제 하멜등대,반려동물업,반려동반여행,여행지,전라남도,여수시,종화동,,458-7 번지,,,34.73643208,127.747797,59746.0,,전라남도 여수시 종화동 458-7,061-650-6035,https://www.yeosu.go.kr/tour/travel/island_beach?mode=view&idx=296,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
여수해상케이블카,반려동물업,반려동반여행,여행지,전라남도,여수시,돌산읍,우두리,794-89 번지,돌산로,3600-1 번,34.73058792,127.741525,59767.0,전라남도 여수시 돌산읍 돌산로 3600-1,전라남도 여수시 돌산읍 우두리 794-89,061-664-7301,http://www.yeosucablecar.com/,연중무휴,매일 09:30~21:30,Y,15000원,Y,해당없음,소형,"목줄, 케이지",N,Y,관광지,없음,2022-11-30
여수해양공원,반려동물업,반려동반여행,여행지,전라남도,여수시,종화동,,526-7 번지,이순신광장로,188-1 번,34.7379571,127.74417,59746.0,전라남도 여수시 이순신광장로 188-1,전라남도 여수시 종화동 526-7,,https://www.yeosu.go.kr/tour/leisure/walk/marine_park,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
여의도 이랜드크루즈,반려동물업,반려동반여행,여행지,서울특별시,영등포구,여의도동,,85-1 번지,여의동로,290 번,37.52581426,126.93841,7337.0,서울특별시 영등포구 여의동로 290,서울특별시 영등포구 여의도동 85-1,02-6291-6900,http://www.elandcruise.com/,매주 월요일,시설에 따라 변동,Y,변동,Y,해당없음,소형/중형,"케이지, 안기",N,Y,관광지,없음,2022-11-30
여자만갯벌,반려동물업,반려동반여행,여행지,전라남도,여수시,,사곡리,,,,34.79164857,127.577809,59607.0,,전라남도 여수시 소라면 사곡리,061-659-1060,https://www.yeosu.go.kr/tour/travel/island_beach?mode=view&idx=453,연중무휴,매일 09:00~18:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
여하정,반려동물업,반려동반여행,여행지,충청남도,홍성군,,오관리,,,,36.59917903,126.661615,32229.0,,충청남도 홍성군 홍성읍 오관리,041-630-1226,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
연꽃테마파크,반려동물업,반려동반여행,여행지,경기도,시흥시,하중동,,271 번지,관곡지로,139 번,37.4007007,126.808403,14973.0,경기도 시흥시 관곡지로 139,경기도 시흥시 하중동 271,031-310-6224,https://www.siheung.go.kr/portal/treasureMap/view.do?idx=2&mId=0814010900,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
연산면민체육공원,반려동물업,반려동반여행,여행지,충청남도,논산시,연산면,청동리,611 번지,관창로,181 번,36.21444106,127.196802,32913.0,충청남도 논산시 연산면 관창로 181,충청남도 논산시 연산면 청동리 611,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
연우당 게스트하우스,반려동물업,반려동반여행,펜션,전라북도,전주시 완산구,풍남동,,54-1 번지,태조로,12-17 번,35.8155876,127.153111,55041.0,전라북도 전주시 완산구 태조로 12-17,전라북도 전주시 완산구 풍남동3가 54-1,0507-1491-0302,http://yeonwoodang.com/,연중무휴,매일 15:00~10:30,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,펜션,없음,2022-11-30
연제공원,반려동물업,반려동반여행,여행지,충청북도,청주시 흥덕구,오송읍,연제리,630 번지,,,36.64142656,127.32165,28165.0,,충청북도 청주시 흥덕구 오송읍 연제리 630,043-201-7562,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
엽순근린공원,반려동물업,반려동반여행,여행지,전라북도,전주시 덕진구,장동,,1073 번지,틀못2길,29 번,35.84232002,127.061236,54862.0,전라북도 전주시 덕진구 틀못2길 29,전라북도 전주시 덕진구 장동 1073,063-239-2546,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
영금정,반려동물업,반려동반여행,여행지,강원도,속초시,동명동,,1-185 번지,영금정로,43 번,38.2118456,128.601438,24811.0,강원도 속초시 영금정로 43,강원도 속초시 동명동 1-185,033-639-2690,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
영남알프스,반려동물업,반려동반여행,여행지,울산광역시,울주군,상북면,,,,,35.59053433,129.09129,44952.0,,울산광역시 울주군 상북면,052-204-2931,https://all.ulju.ulsan.kr/ynawc/,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
영덕오션펜션,반려동물업,반려동반여행,펜션,경상북도,영덕군,병곡면,백석리,19 번지,동해대로,7732 번,36.62868915,129.414942,36403.0,경상북도 영덕군 병곡면 동해대로 7732,경상북도 영덕군 병곡면 백석리 19,070-8104-7562,http://ydocean.co.kr,연중무휴,매일 15:00~12:00,Y,변동,Y,해당없음,7kg 이하,객실당 최대 2마리,Y,Y,"애견 동반 펜션, 애견수영장, 사전문의 필수",없음,2022-11-30
영랑호수공원,반려동물업,반려동반여행,여행지,강원도,속초시,동명동,,512-82 번지,,,38.21208449,128.584375,24828.0,,강원도 속초시 동명동 512-82,033-639-2539,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
영랑호습지생태공원,반려동물업,반려동반여행,여행지,강원도,속초시,장사동,,418-16 번지,영랑호반길,329-1 번,38.21449294,128.569919,24805.0,강원도 속초시 영랑호반길 329-1,강원도 속초시 장사동 418-16,033-639-2690,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
영산강8경 담양습지,반려동물업,반려동반여행,여행지,전라남도,담양군,,태목리,,,,35.26156242,126.895508,57331.0,,전라남도 담양군 대전면 태목리,061-381-5238,http://www.damyang.go.kr/tour/index.damyang,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
영암연희한옥펜션,반려동물업,반려동반여행,펜션,전라남도,영암군,군서면,도갑리,762-2 번지,왕인로,690-17 번,34.7736987,126.645223,58434.0,전라남도 영암군 군서면 왕인로 690-17,전라남도 영암군 군서면 도갑리 762-2,0507-1492-3314,https://site.onda.me/122617,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,35kg 미만,제한사항 없음,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
영일대해수욕장,반려동물업,반려동반여행,여행지,경상북도,포항시 북구,두호동,,685-1 번지,,,36.05729023,129.378069,,,경상북도 포항시 북구 두호동 685-1,054-270-2114,https://www.pohang.go.kr/phtour/index.do,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
영종도 마시안해변,반려동물업,반려동반여행,여행지,인천광역시,중구,덕교동,,662-9 번지,마시란로,118 번,37.43261022,126.417569,22385.0,인천광역시 중구 마시란로 118,인천광역시 중구 덕교동 662-9,032-760-8872,http://masianbeach.com/,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
영종도 해둥실펜션,반려동물업,반려동반여행,펜션,인천광역시,중구,무의동,,414 번지,큰무리로,36 번,37.40344243,126.409945,22386.0,인천광역시 중구 큰무리로 36,인천광역시 중구 무의동 414,,https://www.instagram.com/sundungsil/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 미만,객실당 최대 2마리,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
영종씨사이드레일바이크,반려동물업,반려동반여행,여행지,인천광역시,중구,중산동,,1967-1 번지,구읍로,75 번,37.48846007,126.576868,22410.0,인천광역시 중구 구읍로 75,인천광역시 중구 중산동 1967-1,032-719-7778,http://www.영종씨사이드레일바이크.com,연중무휴,매일 09:00~16:30,Y,변동,Y,해당없음,소형,"목줄, 안기",N,Y,관광지,없음,2022-11-30
영천악,반려동물업,반려동반여행,여행지,제주특별자치도,서귀포시,상효동,,122-1 번지,,,33.3088127,126.600015,63582.0,,제주특별자치도 서귀포시 상효동 산 122-1,064-710-6043,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
영흥도 라르고 애견동반펜션,반려동물업,반려동반여행,펜션,인천광역시,옹진군,영흥면,내리,1542-21 번지,영흥로757번길,178 번,37.26697719,126.447796,23117.0,인천광역시 옹진군 영흥면 영흥로757번길 178,인천광역시 옹진군 영흥면 내리 1542-21,,http://xn--299a54rhqb.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,"객실당 최대 3마리, 애견용품 개별준비",Y,Y,애견 동반 펜션,"20,000원",2022-11-30
영흥도 바다지기펜션,반려동물업,반려동반여행,펜션,인천광역시,옹진군,영흥면,내리,1651-5 번지,영흥로,698 번,37.27093156,126.453976,23117.0,인천광역시 옹진군 영흥면 영흥로 698,인천광역시 옹진군 영흥면 내리 1651-5,,http://www.바다지기펜션.com,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,5kg 이하,객실당 최대 1마리,Y,Y,애견 동반 펜션,없음,2022-11-30
영흥도 바닷가펜션,반려동물업,반려동반여행,펜션,인천광역시,옹진군,영흥면,내리,1626-15 번지,영흥로757번길,45 번,37.27110586,126.449162,23117.0,인천광역시 옹진군 영흥면 영흥로757번길 45,인천광역시 옹진군 영흥면 내리 1626-15,0507-1356-8803,https://www.instagram.com/beachpension/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,객실당 최대 3마리,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
예당관광지,반려동물업,반려동반여행,여행지,충청남도,예산군,응봉면,후사리,81 번지,예당관광로,148 번,36.63693902,126.799713,32447.0,충청남도 예산군 응봉면 예당관광로 148,충청남도 예산군 응봉면 후사리 산 81,041-339-8283,http://www.yesan.go.kr/tour/sub01_01_02_01.do,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,소형,목줄,N,Y,관광지,없음,2022-11-30
예원캠핑장,반려동물업,반려동반여행,펜션,전라북도,완주군,동상면,수만리,741 번지,송광수만로,1079-126 번,35.92687523,127.257713,55344.0,전라북도 완주군 동상면 송광수만로 1079-126,전라북도 완주군 동상면 수만리 741,,http://newyewon.com/,연중무휴,매일 14:00~11:00,Y,변동,Y,해당없음,20kg 이하,"객실당 최대 2마리, 목줄",Y,Y,애견 동반 펜션,"10,000원",2022-11-30
옛날에금잔디 펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,내가면,고천리,857-2 번지,강화서로225번길,18-1 번,37.71611211,126.389213,23018.0,인천광역시 강화군 내가면 강화서로225번길 18-1,인천광역시 강화군 내가면 고천리 857-2,0507-1328-6731,http://www.golden-grass.com/,연중무휴,매일 15:00~12:00,Y,변동,Y,해당없음,15kg 미만,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수","10,000원",2022-11-30
오금근린공원,반려동물업,반려동반여행,여행지,서울특별시,송파구,오금동,,51 번지,오금로,363 번,37.50519118,127.131653,5725.0,서울특별시 송파구 오금로 363,서울특별시 송파구 오금동 51,02-2147-3380,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
오남호수공원,반려동물업,반려동반여행,여행지,경기도,남양주시,오남읍,오남리,50-2 번지,,,37.69398731,127.225383,12048.0,,경기도 남양주시 오남읍 오남리 산 50-2,031-590-2416,https://www.nyj.go.kr/culture/276?action-value=d4f3c7ee77df8227a113c0def5eea3c8&action=read,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
오뉴월펜션,반려동물업,반려동반여행,펜션,울산광역시,북구,신현동,,352 번지,구남2길,23 번,35.59079848,129.43082,44234.0,울산광역시 북구 구남2길 23,울산광역시 북구 신현동 352,052-294-9798,http://www.ohnewwall.com,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형,매너벨트 필수,Y,Y,"애견 동반 펜션, 사전문의 필수","10,000원",2022-11-30
오늘하루 스파펜션,반려동물업,반려동반여행,펜션,경기도,가평군,상면,행현리,642-6 번지,수목원로386번길,17 번,37.74772764,127.351857,12448.0,경기도 가평군 상면 수목원로386번길 17,경기도 가평군 상면 행현리 642-6,050-5356-9630,https://todayharu.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,5KG 미만,객실당 최대 2마리,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
오도1리간이해수욕장,반려동물업,반려동반여행,여행지,경상북도,포항시 북구,,오도리,,,,36.15981074,129.394423,,,경상북도 포항시 북구 흥해읍 오도리,054-270-8282,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
오도선착장,반려동물업,반려동반여행,여행지,전라남도,신안군,암태면,신석리,1-10 번지,박달로,9 번,34.86188204,126.156795,58833.0,전라남도 신안군 암태면 박달로 9,전라남도 신안군 암태면 신석리 1-10,061-271-1004,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fbcb454d-4225-4947-91fb-cf8aa46ada25,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
오륙도가원,반려동물업,반려동반여행,여행지,부산광역시,남구,용호동,,894-55 번지,백운포로,14 번,35.10684237,129.111358,48563.0,부산광역시 남구 백운포로 14,부산광역시 남구 용호동 894-55,051-635-0707,http://oryukdo.fordining.kr/,연중무휴,매일 11:30~21:30,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
오리골근린공원,반려동물업,반려동반여행,여행지,대전광역시,유성구,장동,,450 번지,,,36.4008503,127.362717,34114.0,,대전광역시 유성구 장동 450,,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
오블리펜션,반려동물업,반려동반여행,펜션,경기도,가평군,상면,임초리,615-1 번지,임초밤안골로,251 번,37.75005997,127.364253,12447.0,경기도 가평군 상면 임초밤안골로 251,경기도 가평군 상면 임초리 615-1,,http://오블리.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,12kg 이하,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수","10,000원",2022-11-30
오산반려동물테마파크,반려동물업,반려동반여행,여행지,경기도,오산시,오산동,,750 번지,오산천로,72 번,37.14126173,127.063934,18130.0,경기도 오산시 오산천로 72,경기도 오산시 오산동 750,031-378-1517,https://www.osan.go.kr/petpark/,매주 월요일,화~일 10:00~18:00,Y,변동,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
오설록티뮤지엄,반려동물업,반려동반여행,여행지,제주특별자치도,서귀포시,안덕면,서광리,1235-1 번지,신화역사로,15 번,33.30592403,126.289492,63521.0,제주특별자치도 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리 1235-1,064-794-5312,www.osulloc.com,연중무휴,매일 09:00~18:00,Y,없음,Y,해당없음,모두 가능,배변봉투,N,Y,관광지,없음,2022-11-30
오송제,반려동물업,반려동반여행,여행지,전라북도,전주시 덕진구,송천1동,,9-1 번지,,,35.861883,127.136677,54839.0,,전라북도 전주시 덕진구 송천동1가 9-1,,https://tour.jeonju.go.kr/board/view.jeonju?menuCd=DOM_000000101006002000&boardId=BBS_0000003&dataSid=9758,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
오송호수공원,반려동물업,반려동반여행,여행지,충청북도,청주시 흥덕구,오송읍,연제리,883 번지,오송생명로,150 번,36.63211732,127.32513,28162.0,충청북도 청주시 흥덕구 오송읍 오송생명로 150,충청북도 청주시 흥덕구 오송읍 연제리 883,043-201-0001,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
오수의견공원,반려동물업,반려동반여행,여행지,전라북도,임실군,오수면,오수리,33 번지,충효로,2096-16 번,35.54520338,127.332678,55953.0,전라북도 임실군 오수면 충효로 2096-16,전라북도 임실군 오수면 오수리 33,063-640-2941,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,소형,제한사항 없음,N,Y,공원,없음,2022-11-30
오수휴게소 반려견놀이터,반려동물업,반려동반여행,여행지,전라북도,임실군,오수면,대명리,783-16 번지,순천완주고속도로,74 번,35.54024563,127.311615,55950.0,전라북도 임실군 오수면 순천완주고속도로 74,전라북도 임실군 오수면 대명리 783-16,063-644-5115,정보없음,연중무휴,매일 08:00~20:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
오이도,반려동물업,반려동반여행,여행지,경기도,시흥시,정왕동,,1072-1 번지,,,37.34394261,126.694581,15119.0,,경기도 시흥시 정왕동 1072-1,031-498-5671,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
오조리마을,반려동물업,반려동반여행,여행지,제주특별자치도,서귀포시,,오조리,,,,33.46134289,126.906686,,,제주특별자치도 서귀포시 성산읍 오조리,064-782-3182,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,제한사항 없음,N,Y,관광지,없음,2022-11-30
오창미래지농통테마공원,반려동물업,반려동반여행,여행지,충청북도,청주시 청원구,오창읍,용두리,170 번지,,,36.73106048,127.398604,28106.0,,충청북도 청주시 청원구 오창읍 용두리 170,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
오창저수지,반려동물업,반려동반여행,여행지,충청북도,청주시 청원구,,성산리,,,,36.73684344,127.414471,28107.0,,충청북도 청주시 청원구 오창읍 성산리,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
오해피펜션,반려동물업,반려동반여행,펜션,강원도,평창군,방림면,계촌리,2217 번지,감동지길,116-17 번,37.48021716,128.274891,25364.0,강원도 평창군 방림면 감동지길 116-17,강원도 평창군 방림면 계촌리 2217,033-332-0016,http://www.5hp.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수",변동,2022-11-30
옥구공원,반려동물업,반려동반여행,여행지,경기도,시흥시,정왕동,,2138 번지,서해안로,277 번,37.35451663,126.709916,15013.0,경기도 시흥시 서해안로 277,경기도 시흥시 정왕동 2138,031-310-3864,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
옥녀봉공원,반려동물업,반려동반여행,여행지,충청남도,논산시,강경읍,북옥리,137 번지,옥녀봉로73번길,28-12 번,36.1639367,127.012052,32931.0,충청남도 논산시 강경읍 옥녀봉로73번길 28-12,충청남도 논산시 강경읍 북옥리 137,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
옥녀봉체육공원,반려동물업,반려동반여행,여행지,대전광역시,서구,도안동,,971 번지,도안북로,158 번,36.3317391,127.34483,35352.0,대전광역시 서구 도안북로 158,대전광역시 서구 도안동 971,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
옥돌해수욕장,반려동물업,반려동반여행,여행지,전라북도,군산시,옥도면,선유도리,426 번지,선유남2길,1 번,35.80806693,126.409834,54000.0,전라북도 군산시 옥도면 선유남2길 1,전라북도 군산시 옥도면 선유도리 426,,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
옥암수변공원,반려동물업,반려동반여행,여행지,전라남도,목포시,옥암동,,1396 번지,남악로58번길,18 번,34.80230385,126.445983,58682.0,전라남도 목포시 남악로58번길 18,전라남도 목포시 옥암동 1396,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
옥정중앙공원,반려동물업,반려동반여행,여행지,경기도,양주시,옥정동,,1035-1 번지,옥정동로7길,110 번,37.82299986,127.094931,11473.0,경기도 양주시 옥정동로7길 110,경기도 양주시 옥정동 1035-1,031-8082-7310,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,소형/중형,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
